epoch,acc,loss,val_acc,val_loss
0,0.9661957006030544,0.10405025524381906,0.9604501607717042,0.333294539183522
1,0.9932998664021699,0.0352895307312363,0.9594855305466238,0.37149911969916977
2,0.9950002024209547,0.021517287034366873,0.9614147909967846,0.4493404287286215
3,0.996315938650097,0.016133078605960336,0.9623794212218649,0.5153691020560821
4,0.9967815068215862,0.013355913250588134,0.962700964630225,0.5441070402610941
5,0.9973685275899761,0.01141448636429336,0.9630225080385852,0.5608088532020473
6,0.9974697380672847,0.010636185434252937,0.962700964630225,0.5610893419351379
7,0.9977531274037489,0.009262679282472236,0.9630225080385852,0.5583448195838621
8,0.9978745799765192,0.008706492335093565,0.9630225080385852,0.5585526964219238
9,0.9980162746447512,0.008199385314642772,0.9630225080385852,0.5580431698363855
10,0.9981377272175216,0.007770318958221092,0.962700964630225,0.557525063280508
11,0.9981174851220599,0.007232986919283351,0.9623794212218649,0.5586239339499885
12,0.9983806323630622,0.006590564626005757,0.962700964630225,0.5571153775850093
13,0.9983199060766771,0.006520375509765489,0.962700964630225,0.5573103104805102
14,0.9984818428403708,0.006030031932826643,0.962700964630225,0.557264162209987
15,0.9985223270312943,0.005723685840694325,0.9630225080385852,0.5576856243578889
16,0.9986842637949881,0.005520707546109661,0.962700964630225,0.5584991732334842
17,0.9986032954131412,0.00528369210731223,0.9620578778135048,0.5584578909582854
18,0.9986437796281951,0.0052296897086717645,0.9630225080385852,0.5573011803678593
19,0.998724748010042,0.00489263755990642,0.9630225080385852,0.5569502074035688
20,0.9986842637949881,0.0050104876301547,0.962700964630225,0.5574162385638716
21,0.9988664426541436,0.004664775591907238,0.9630225080385852,0.5585738026809022
22,0.998906926845067,0.004570347198708407,0.9633440514469453,0.5582659242632678
23,0.9987247479859115,0.004471647098524754,0.9630225080385852,0.5566812115395822
24,0.9988664426541436,0.004168350771831945,0.9630225080385852,0.5593651142772126
25,0.9990486215132991,0.003953329096610188,0.9630225080385852,0.5590964500164577
26,0.9988866847496053,0.004014901618871498,0.9630225080385852,0.5602199804492425
27,0.9989474110359905,0.00392434024228786,0.9630225080385852,0.5613815558135681
28,0.9989474110359905,0.0038109056991885914,0.9633440514469453,0.5605492649699831
29,0.9988259584632201,0.003891577867078718,0.9636655948553055,0.5575455488218932
30,0.9991700740860694,0.0034344683524952916,0.9633440514469453,0.5585025574199887
31,0.9990891057042225,0.0036869519430320396,0.9630225080385852,0.563114870481641
32,0.9989878952269139,0.0035400097910806834,0.9636655948553055,0.5596019293882316
33,0.9990688636087608,0.00343763220419328,0.9633440514469453,0.5610627822371544
34,0.9991093477996842,0.0033310301132275983,0.9636655948553055,0.5611626549717622
35,0.9992510424679163,0.003224959150527987,0.9639871382636656,0.5608773048401897
36,0.9992105582769928,0.0031656318675632638,0.9630225080385852,0.564227872986348
37,0.9990688636087608,0.0034071779232133837,0.9633440514469453,0.5634708691695912
38,0.9993117687543015,0.003057602160047444,0.9633440514469453,0.5628286244459697
39,0.9994129792316101,0.0029401520450800848,0.9630225080385852,0.5657632772472849
40,0.9991903161815311,0.0033435496476295853,0.9636655948553055,0.5633608737809246
41,0.9991700740860694,0.0031108004557535156,0.9636655948553055,0.561600231478773
42,0.9991498319906077,0.0030151337896313266,0.9636655948553055,0.5622485437692378
43,0.9993522529452249,0.002903001692370608,0.9636655948553055,0.5612454134896474
44,0.9992105582769928,0.0026815435160722823,0.9636655948553055,0.560831491085594
45,0.9993522529452249,0.0028281282201949504,0.9636655948553055,0.5645892729224883
46,0.9992510424679163,0.002829386764434619,0.9636655948553055,0.564451404351707
47,0.9992105582769928,0.002985882354330074,0.9636655948553055,0.5632788001002477
48,0.9993724950406866,0.0027090572032572604,0.9636655948553055,0.5626446337010508
49,0.9992915266588397,0.0026180360900387133,0.9636655948553055,0.5629314127088894
